state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
SA,G,4,BAWDEN,Matilda,Trumpet of Patriots,Trumpet of Patriots
SA,H,1,CROSSLING,Monique,National Party,National Party
SA,H,2,AZZOPARDI,Emma,National Party,National Party
SA,I,1,SHANE,Jordan,Australia's Voice,Australia's Voice
SA,I,2,NIELSEN,Craig Michael,Australia's Voice,Australia's Voice
SA,J,1,LONIE,Rob,Gerard Rennick People First,Gerard Rennick People First
SA,J,2,AMADIO,Patrick J,Gerard Rennick People First,Gerard Rennick People First
SA,K,1,NIES,Jessica,Legalise Cannabis Party,Legalise Cannabis Party
SA,K,2,HALL,Timothy John,Legalise Cannabis Party,Legalise Cannabis Party
SA,L,1,ACKLAND,Louise,Citizens Party,Citizens Party
SA,L,2,FREER,Mark,Citizens Party,Citizens Party
SA,M,1,BROHIER,Frederick Christopher,Family First,Family First
SA,M,2,MATHEW,Deepa,Family First,Family First
SA,N,1,HANSON-YOUNG,Sarah,The Greens,The Greens
SA,N,2,SCHULTZ-BYARD,Noah,The Greens,The Greens
SA,O,1,WEARNE,Madeleine,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
SA,O,2,DWYER,Michael,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
SA,P,1,GAME,Jennifer,Pauline Hanson's One Nation,Pauline Hanson's One Nation
SA,P,2,QUAREMBA,Carlos,Pauline Hanson's One Nation,Pauline Hanson's One Nation
SA,UG,1,HADJIMARKOU,Kosta,,Independent
SA,UG,2,FRANCIS,Janette Gail,,Independent
TAS,A,1,BILIC,Dennis,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
TAS,A,2,RICHARDSON,Pierre,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
TAS,B,1,CHANDLER,Claire,Liberal,Liberal
TAS,B,2,COLBECK,Richard Mansell,Liberal,Liberal
TAS,B,3,MARTIN,Jacki,Liberal,Liberal
TAS,C,1,MOORE,Wayne Leslie,Trumpet of Patriots,Trumpet of Patriots
TAS,C,2,KELLY,Matt,Trumpet of Patriots,Trumpet of Patriots
TAS,C,3,SMITH,Greg,Trumpet of Patriots,Trumpet of Patriots
